,fighter,birthday,height,weight,reach,stance
0,Jan-Blachowicz,1983-02-24,74,205,78,Orthodox
1,Jacare-Souza,1979-12-07,73,185,72,Orthodox
2,Mauricio-Rua,1981-11-25,73,205,76,Orthodox
3,Paul-Craig,1987-11-27,75,205,76,Orthodox
4,Charles-Oliveira,1989-10-17,70,155,74,Orthodox
5,Jared-Gordon,1988-09-06,69,155,68,Orthodox
6,Andre-Muniz,1990-02-17,73,185,78,Southpaw
7,Antonio-Arroyo,1989-07-01,75,185,73,Orthodox
8,Wellington-Turman,1996-07-22,72,185,72,Orthodox
9,Markus-Perez,1988-06-22,73,185,73,Orthodox
10,James-Krause,1986-06-04,74,170,73,Orthodox
11,Sergio-Moraes,1982-07-23,72,170,72,Orthodox
12,Ricardo-Ramos,1995-08-01,69,135,72,Orthodox
13,Eduardo-Garagorri,1989-05-28,69,145,70,Orthodox
14,Francisco-Trinaldo,1978-08-24,69,155,70,Southpaw
15,Bobby-Green,1986-09-09,70,155,71,Orthodox
16,Randy-Brown,1990-07-08,75,170,78,Orthodox
17,Warlley-Alves,1991-01-04,71,170,72,Orthodox
18,Douglas-Silva-de-Andrade,1985-06-22,67,145,68,Orthodox
19,Renan-Barao,1987-01-31,66,145,70,Orthodox
20,Ariane-Lipski,1994-01-26,66,125,67,Orthodox
21,Isabela-de-Padua,1991-09-04,63,125,64,Orthodox
22,Tracy-Cortez,1993-12-10,65,135,65,Orthodox
23,Vanessa-Melo,1988-03-27,65,135,65,Orthodox
